api_name,version,scope,description
accessapproval,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
accesscontextmanager,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
addressvalidation,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
addressvalidation,v1,https://www.googleapis.com/auth/maps-platform.addressvalidation,Private Service: https://www.googleapis.com/auth/maps-platform.addressvalidation
adexchangebuyer2,v2beta1,https://www.googleapis.com/auth/adexchange.buyer,Manage your Ad Exchange buyer account configuration
admin,datatransfer_v1,https://www.googleapis.com/auth/admin.datatransfer.readonly,View data transfers between users in your organization
admin,datatransfer_v1,https://www.googleapis.com/auth/admin.datatransfer,View and manage data transfers between users in your organization
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.userschema,View and manage the provisioning of user schemas on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.rolemanagement,Manage delegated admin roles for your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.rolemanagement.readonly,View delegated admin roles for your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.customer,View and manage customer related information
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.resource.calendar,View and manage the provisioning of calendar resources on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.device.mobile.readonly,View your mobile devices' metadata
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.group.readonly,View groups on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.orgunit.readonly,View organization units on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.chrome.printers.readonly,See the printers that your organization can use with Chrome
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.customer.readonly,View customer related information
admin,directory_v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.user,View and manage the provisioning of users on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.orgunit,View and manage organization units on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.chrome.printers,"See, add, edit, and permanently delete the printers that your organization can use with Chrome"
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.user.security,Manage data access permissions for users on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.userschema.readonly,View user schemas on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.group,View and manage the provisioning of groups on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.group.member,View and manage group subscriptions on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.domain,View and manage the provisioning of domains for your customers
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.user.alias.readonly,View user aliases on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.device.chromeos,View and manage your ChromeOS devices' metadata
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.user.readonly,See info about users on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.device.mobile.action,Manage your mobile devices by performing administrative tasks
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.resource.calendar.readonly,View calendar resources on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.group.member.readonly,View group subscriptions on your domain
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.device.chromeos.readonly,View your ChromeOS devices' metadata
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.device.mobile,View and manage your mobile devices' metadata
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.domain.readonly,View domains related to your customers
admin,directory_v1,https://www.googleapis.com/auth/admin.directory.user.alias,View and manage user aliases on your domain
admin,reports_v1,https://www.googleapis.com/auth/admin.reports.usage.readonly,View usage reports for your Google Workspace domain
admin,reports_v1,https://www.googleapis.com/auth/admin.reports.audit.readonly,View audit reports for your Google Workspace domain
admob,v1beta,https://www.googleapis.com/auth/admob.readonly,See your AdMob data
admob,v1beta,https://www.googleapis.com/auth/admob.report,See your AdMob data
admob,v1,https://www.googleapis.com/auth/admob.readonly,See your AdMob data
admob,v1,https://www.googleapis.com/auth/admob.report,See your AdMob data
adsense,v2,https://www.googleapis.com/auth/adsense,View and manage your AdSense data
adsense,v2,https://www.googleapis.com/auth/adsense.readonly,View your AdSense data
adsenseplatform,v1alpha,https://www.googleapis.com/auth/adsense,View and manage your AdSense data
adsenseplatform,v1alpha,https://www.googleapis.com/auth/adsense.readonly,View your AdSense data
adsenseplatform,v1,https://www.googleapis.com/auth/adsense.readonly,View your AdSense data
adsenseplatform,v1,https://www.googleapis.com/auth/adsense,View and manage your AdSense data
advisorynotifications,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
